Station	Elevation	Latitude (DD)	Longitude (DD)
Rundle island	200 	-23533	+151283
Rutherglen researc	1680 	-36100	+146500
S. channel isl aws	130 	-38300	+144800
Saint george	2010 	-28033	+148583
Saint helens	50 	-41317	+148233
Saint lawrence	180 	-22333	+149533
Salmon gums res	2490 	-32983	+121617
Samuel hill aero	320 	-22733	+150650
Sandy cape (lgt-h)	1010 	-24717	+153200
Scamander	30 	-41467	+148267
Scone	2080 	-32049	+150867
Scone aws (aut)	2270 	-32033	+150833
Scones scs	2160 	-32067	+150933
Scoresby research	900 	-37867	+145250
Scott reef aws aut	80 	-14050	+121800
Scotts peak dam	4100 	-43050	+146267
Scottsdale (n0.2)	1900 	-41183	+147500
Shark bay airport	340 	-25900	+113583
Shark bay/denham	100 	-25917	+113517
Shay gap	470 	-20500	+120167
Sheoaks aws (aut)	2350 	-37900	+144117
Shepparton arpt	1150 	-36433	+145400
Singleton	400 	-32567	+151150
Smithton	80 	-40833	+145100
Smoky cape (lgt-h)	1140 	-30917	+153083
Snowtown	1030 	-33783	+138217
South johnstone stn	180 	-17600	+146000
Southern cross	3560 	-31233	+119333
Southern cross fld	3480 	-31233	+119350
Southern cross mt	5010 	-30383	+120150
Spearwood/jandakot	310 	-32100	+115883
Springsure	3260 	-24117	+148083
St george airport	1990 	-28050	+148600
Stanthorpe	7950 	-28650	+151933
Stawell	2030 	-37067	+142783
Stawell aero	2290 	-37067	+142733
Stenhouse bay	440 	-35283	+136933
Storys creek aws	7810 	-41617	+147733
Strahan	80 	-42150	+145317
Strahan arpt aws	220 	-42150	+145283
Strathalbyn	630 	-35283	+138900
Strathalbyn p. o.	700 	-35250	+138883
Strathbogie	5200 	-36850	+145733
Strathgordon	3200 	-42767	+146050
Streaky bay	140 	-32800	+134217
Surat	2460 	-27150	+149067
Swan hill	710 	-35383	+143533
Swan island (lgt-h)	90 	-40733	+148117
Swan island aws	150 	-40717	+148117
Swanbourne aws	200 	-31950	+115750
Swansea	80 	-42117	+148067
Sweers island	40 	-17117	+139600
Sydney	660 	-33867	+151200
Sydney harbour	50 	-33833	+151267
Sydney intl airport	30 	-33950	+151183
Tabulam	5550 	-28750	+152450
Tambo	3970 	-24883	+146250
Tamworth airport	4100 	-31083	+150833
Tamworth aws(aut)	3960 	-31083	+150850
Taralga p. o.	8450 	-34400	+149817
Tarcoola	1200 	-30717	+134567
Taree	70 	-31900	+152483
Taree airport	90 	-31883	+152517
Taroom	2000 	-25633	+149783
Tarraleah	5890 	-42300	+146433
Tarrawarra	1000 	-37650	+145433
Tasman island	2410 	+43233	+148000
Tatura inst	1140 	-36433	+145233
Te kowai exp stn	140 	-21167	+149117
Telfer	2940 	-21700	+122217
Temora ag research	2700 	-34400	+147533
Tennant creek arpt	3770 	-19633	+134183
Tenterfield	8450 	-29050	+152017
Tewantin	90 	-26383	+153033
Tewantin rsl park	60 	-26383	+153033
Texas(post office)	2840 	-28850	+151167
Thangool	1990 	-24483	+150583
Thargomindah	1300 	-27983	+143817
Thargomindah arpt	1320 	-27983	+143817
The monument apt	2890 	-21800	+139917
Thevenard isl aws	60 	-21450	+115017
Thredbo village	13800 	-36500	+148300
Three rivers	5220 	-25117	+119133
Thursday il/horn il	580 	-10583	+142217
Tibooburra	1840 	-29417	+142017
Tibooburra arpt	1770 	-29450	+142050
Tidbinbilla nat res	2260 	-35450	+148933
Timber creek	180 	-15667	+130467
Tindal aws aut	1350 	-14517	+132367
Tocumwal	1110 	-35817	+145567
Tom price	7460 	-22700	+117767
Toolara (kelly)	800 	-25967	+152867
Toorak research stn	1490 	-21033	+141800
Toowoomba	6760 	-27583	+151933
Toowoomba arpt	6420 	-27550	+151917
Town of 1770	470 	-24150	+151883
Townsville(civ/mil)	60 	-19250	+146750
Training annex	1100 	-37683	+144950
Trangie research stn	2160 	-31983	+147950
Trepell airport	2670 	-21833	+140883
Troughton island	80 	-13750	+126133
Tuggeranong	5880 	-35417	+149100
Tumbarumba	6450 	-35767	+148000
Turkey creek	2050 	-17017	+128199
Turretfield res ctr	1160 	-34550	+138833
Ulladulla aws (aut)	350 	-35350	+150483
Uluru rangers	5300 	-25367	+131017
Univ queensland gat	940 	-27550	+152333
Urandangie	1750 	-21600	+138300
Varanus island	240 	-20650	+115567
Victor harbour p.o.	50 	-35550	+138617
Victoria riv. downs	830 	-16350	+131000
Viewbank (arpnsa)	660 	-37733	+145100
Virginia	30 	-34650	+138533
Virginia no 2	170 	-34633	+138550
Wagga wagga scs	2130 	-35133	+147300
Wagga wagga(cv/mil)	2130 	-35150	+147450
Wagin	2560 	-33300	+117317
Waillton p. o.	1350 	-36517	+142167
Walgett	1330 	-30017	+148117
Walgett airport aws	1330 	-30033	+148117
Walkamin dpi	5940 	-17133	+145433
Walpeup research	1050 	-35070	+142000
Wanaaring	1080 	-29700	+144150
Wandering	2500 	-32667	+116667
Wangaratta	1500 	-36417	+146300
Waratah	6150 	-41450	+145517
Warburton airfield	4600 	-26133	+126583
Warooka	540 	-34983	+137400
Warracknabeal	1130 	-36250	+142400
Warrnambool airport	680 	-38283	+142433
Warruwi	50 	-11650	+133400
Warwick	4550 	-28217	+152033
Warwick aws	4760 	-28200	+152100
Watarrka (canyon)	6120 	-24300	+131533
Wave hill	1980 	-17383	+131117
Weeaproinah	4920 	-38633	+143517
Weipa aero	200 	-12683	+141917
Weipa airport	230 	-12683	+141917
Weipa city	120 	-12633	+141883
Wellington	3040 	-32549	+148933
Wellington research	3900 	-32500	+148967
West wyalong arpt	2580 	-33933	+147200
White cliffs	1510 	-30850	+143083
Whitemark	40 	-40117	+148017
Whyalla	150 	-33017	+137517
Whyalla airport	110 	-33050	+137500
Wilcannia	760 	-31550	+143367
Wilcannia aerodrome	950 	-31517	+143383
Williamstown	5150 	-34733	+138933
Williamtown(aus-ab)	80 	-32783	+151817
Willis island	90 	-16300	+149983
Wilsons promontory	1000 	-39133	+146417
Wiluna	5220 	-26583	+120217
Windorah	1290 	-25417	+142650
Windy harbour	60 	-34833	+116033
Winton	1870 	-22367	+143017
Winton airport	1840 	-22367	+143083
Witchcliffe	800 	-34033	+115100
Witjira national	1500 	-26067	+135250
Wittenoom	4640 	-22233	+118333
Wollogorang	610 	-17200	+137933
Wollongong	300 	-34400	+150883
Wollongong airport	80 	-34567	+150783
Wongan hills	2840 	-30883	+116717
Wongan hills res st	3050 	-30833	+116733
Wonthaggi	420 	-38600	+145600
Woolbrook	9100 	-30967	+151350
Woolshed	5590 	-19417	+146533
Woomera (aus-afb)	1670 	-31133	+136817
Wudinna aero	870 	-33050	+135450
Wyalong	2450 	-33917	+147233
Wyndham	160 	-15483	+128116
Wynyard ap aws	120 	-41000	+145733
Wynyard west	110 	-40983	+145717
Yamba	300 	-29433	+153350
Yanco agricultural	1640 	-34617	+146433
Yarras mount	1550 	-31383	+152250
Yarrawonga	1250 	-36017	+145983
Yass	5200 	-34833	+148917
Yeelirrie	4880 	-27267	+120100
Yeppoon aws	60 	-23133	+150750
Yongala	5150 	-33017	+138700
York	1980 	-31883	+116750
Young aws (aut)	3810 	-34250	+148233
Yuendumu	6790 	-22250	+131783
Yulara aws	4930 	-25183	+130967
Yunta	3030 	-32567	+139550
